,coords_first,coords_last,full_street,street_width,bike_lane,elevation_x,elevation_y,distance,elevation_diff,steep
4739,"(40.73588819, -73.99121076)","(40.73669105, -73.99311953)",E  15 ST,30,1,12.57443256,11.524762316952001,184.1458740368316,-1.0496702430479985,0.005700210490939648
4740,"(40.73592645, -74.00072171)","(40.73656324, -74.00109501)",GREENWICH AVE,40,0,6.889272476952001,7.546512720000001,77.56579399705619,0.6572402430480002,0.008473325794524119
4741,"(40.73592645, -74.00072171)","(40.73530752, -74.00035546)",GREENWICH AVE,40,0,6.889272476952001,6.620774156952001,75.5079938655737,-0.26849831999999996,0.003555892644664954
4742,"(40.73594647, -73.97630684)","(40.73688766, -73.97854095)",E  23 ST,60,0,1.7582388000000002,4.37714136,215.61264259945563,2.6189025600000004,0.012146331163266456
4743,"(40.73594647, -73.97630684)","(40.7372336, -73.97537395)",ASSER LEVY PL,0,0,1.7582388000000002,1.5384170400000001,163.46784987423402,-0.2198217600000001,0.0013447400217787328
4744,"(40.73596138, -73.98939373)","(40.73653252, -73.98895641)",UNION SQ E,30,0,12.515087996952001,12.34330272,73.50500041900177,-0.17178527695200074,0.0023370556557073706
4745,"(40.73596138, -73.98939373)","(40.73529228, -73.98781645)",E  16 ST,30,1,12.515087996952001,11.489161676952,152.47434958636563,-1.0259263200000017,0.006728517437740497
4746,"(40.73596174, -74.00512616)","(40.73530369, -74.00493122)",BLEECKER ST,24,1,7.433950076952001,7.67221224,75.07660178457328,0.23826216304799974,0.003173587474452763
4747,"(40.73596174, -74.00512616)","(40.73584501, -74.00596018)",W  11 ST,28,0,7.433950076952001,7.0189344,71.53930871453818,-0.4150156769520006,0.005801225709463158
4748,"(40.73596664, -73.97480409)","(40.7369825, -73.97448171)",F ROOSEVELT DR,16,0,2.2045574369520002,1.7731130369520003,116.3084167106029,-0.43144439999999995,0.003709485626251059
4749,"(40.73596664, -73.97480409)","(40.7367949, -73.97441743)",F ROOSEVELT DR,30,0,2.2045574369520002,2.08973928,97.79985536961982,-0.11481815695200037,0.001174011520958415
4750,"(40.73596664, -73.97480409)","(40.73597761, -73.97491012)",F ROOSEVELT DR,30,0,2.2045574369520002,2.2045574369520002,9.026567198783257,0.0,0.0
4751,"(40.73597176, -73.97515844)","(40.73539025, -73.97511055)",LOISAIDA AVE,16,0,8.065737922848,2.078729428512,64.85931233343582,-5.987008494335999,0.09230761596048588
4752,"(40.73597694, -73.97505375)","(40.73597176, -73.97515844)",RAMP,30,0,8.065737922848,8.065737922848,8.849359781259157,0.0,0.0
4753,"(40.73597694, -73.97505375)","(40.73536872, -73.97495993)",F ROOSEVELT DR,32,0,8.065737922848,9.907584179712002,68.16765748475028,1.8418462568640024,0.027019356756920097
4754,"(40.73597761, -73.97491012)","(40.73703137, -73.97458749)",F ROOSEVELT DR,34,0,2.2045574369520002,1.5734385600000003,120.41929988177635,-0.631118876952,0.0052410110137794475
4755,"(40.73597761, -73.97491012)","(40.73597694, -73.97505375)",RAMP,30,0,2.2045574369520002,8.065737922848,12.115352569103342,5.861180485895999,0.48378125625854446
4756,"(40.73600435, -74.00993003)","(40.73619215, -74.00830848)",BANK ST,24,0,2.14752936,3.946977116952,138.3651936074197,1.799447756952,0.013005060810723328
4757,"(40.73600435, -74.00993003)","(40.73696753, -74.00984372)",WEST ST,50,0,2.14752936,2.20029024,107.46757956280254,0.05276088000000012,0.0004909469461826615
4758,"(40.73600449, -73.99361688)","(40.7352153, -73.99171499)",E  14 ST,52,0,10.920587756952,12.185416320000002,182.904364521193,1.2648285630480025,0.006915245387167607
4759,"(40.73600449, -73.99361688)","(40.73736089, -73.99683994)",W  14 ST,52,0,10.920587756952,8.716518,310.9780735572657,-2.2040697569519985,0.007087540712242934
4760,"(40.73600449, -73.99361688)","(40.73531264, -73.99411857)",FIFTH AVE,54,1,10.920587756952,10.378013276952,87.87659898094688,-0.542574479999999,0.00617427718291235
4761,"(40.73601097, -73.98950694)","(40.73537089, -73.98997043)",UNION SQ E,34,1,12.541300796952001,13.011912,81.27416005078727,0.47061120304799964,0.005790416077556756
4762,"(40.73601097, -73.98950694)","(40.73596138, -73.98939373)",E  16 ST,30,1,12.541300796952001,12.515087996952001,11.030026076198995,-0.026212799999999703,0.002376494834999771
4763,"(40.73601974, -73.98226717)","(40.73543185, -73.98270106)",2 AVE,58,1,6.068446076952,6.29314464,74.9821385168567,0.2246985630480003,0.002996694512753673
4764,"(40.73601974, -73.98226717)","(40.73499433, -73.97987932)",E  20 ST,32,1,6.068446076952,4.39177176,231.51236705313,-1.676674316952,0.007242266744943342
4765,"(40.73603591, -73.99780751)","(40.73569913, -73.99701142)",W  12 ST,32,0,7.2029116769520005,8.101591019544001,76.90660763973257,0.8986793425920006,0.011685333291540378
4766,"(40.73603591, -73.99780751)","(40.73666789, -73.99734133)",6 AVE,64,1,7.2029116769520005,7.9111449569520005,80.59508565864991,0.70823328,0.008787549193751474
4767,"(40.73611433, -73.98431265)","(40.73670117, -73.98388657)",ALLEY,25,0,7.8636266369520005,7.5227687969520005,74.56019858609984,-0.34085783999999997,0.004571579025589473
4768,"(40.73612869, -73.97884941)","(40.73544433, -73.97774316)",COOPER RD,16,0,3.6801552,3.646270175568,120.46122529303915,-0.033885024432000144,0.0002812940375591397
4769,"(40.73612869, -73.97884941)","(40.73666947, -73.97845557)",FIRST AVE,25,0,3.6801552,3.601147897512,68.75704472037246,-0.07900730248800025,0.0011490793824736722
4770,"(40.73616413, -73.97890917)","(40.73612869, -73.97884941)",COOPER RD,32,0,3.7176456,3.6801552,6.40102474870617,-0.03749039999999981,0.005856937204871406
4771,"(40.73617852, -74.00352732)","(40.73596174, -74.00512616)",W  11 ST,28,0,8.28528696,7.433950076952001,137.00325828613626,-0.8513368830479999,0.006213990044455381
4772,"(40.73617852, -74.00352732)","(40.73683836, -74.00371404)",W  4 ST,22,0,8.28528696,7.733294160000001,75.12257615964157,-0.5519927999999998,0.007347894976697422
4773,"(40.73619215, -74.00830848)","(40.7364317, -74.00662032)",BANK ST,24,0,3.946977116952,5.189341916952,144.87022417722295,1.2423648000000003,0.008575708411137598
4774,"(40.73619215, -74.00830848)","(40.73550555, -74.00837038)",WASHINGTON ST,36,1,3.946977116952,4.98095016,76.61009256436668,1.0339730430479999,0.013496564335557626
4775,"(40.73621569, -73.97899715)","(40.73616413, -73.97890917)",E  22 ST,32,0,3.7543435169520003,3.7176456,9.381649039868703,-0.03669791695200031,0.003911670197429801
4776,"(40.73621569, -73.97899715)","(40.73688766, -73.97854095)",FIRST AVE,70,1,3.7543435169520003,4.37714136,84.12043094412603,0.6227978430480001,0.0074036454171480795
4777,"(40.73637638, -73.98493339)","(40.73578993, -73.9853608)",3 AVE,70,0,8.260506716952001,9.150614156952,74.57641560028796,0.8901074399999995,0.011935508469202463
4778,"(40.73637638, -73.98493339)","(40.73705001, -73.986535)",E  19 ST,30,0,8.260506716952001,9.607204560000001,154.51048955182677,1.346697843048,0.00871589914027347
4779,"(40.73637638, -73.98493339)","(40.73696249, -73.98450758)",3 AVE,70,0,8.260506716952001,7.655600640000001,74.47795566643987,-0.604906076952,0.00812194791786657
4780,"(40.73641394, -74.0019483)","(40.73576169, -74.00176916)",WAVERLY PL,22,0,7.976311196952,7.565623676952,74.1637671159925,-0.41068752000000064,0.0055375763121320865
4781,"(40.73641394, -74.0019483)","(40.73617852, -74.00352732)",W  11 ST,28,0,7.976311196952,8.28528696,135.74275763168282,0.3089757630480001,0.002276185989136588
4782,"(40.7364317, -74.00662032)","(40.73653385, -74.00582871)",BANK ST,24,0,5.189341916952,5.986515836952001,67.73277801354311,0.7971739200000005,0.011769396492797126
4783,"(40.7364317, -74.00662032)","(40.73695759, -74.00649818)",GREENWICH ST,38,1,5.189341916952,4.88390184,59.44141139194745,-0.30544007695200026,0.005138506468797919
